"","item","itemLabel","birthdate","deathdate"
"627","http://www.wikidata.org/entity/Q984030","Ilia Zdanevich","1894","1975"
"628","http://www.wikidata.org/entity/Q984568","Charles de Mazade","1820","1893"
"630","http://www.wikidata.org/entity/Q1029162","Camille Delthil","1834","1902"
"631","http://www.wikidata.org/entity/Q1035323","Henri Blaze","1813","1888"
"633","http://www.wikidata.org/entity/Q1063392","Charles Augustin Sainte-Beuve","1804","1869"
"636","http://www.wikidata.org/entity/Q1063981","Charles Coran","1814","1901"
"637","http://www.wikidata.org/entity/Q1064595","Charles Grandmougin","1850","1930"
"638","http://www.wikidata.org/entity/Q1066524","Charles Zumstein","1867","1963"
"639","http://www.wikidata.org/entity/Q1085320","Maurice Rostand","1891","1968"
"643","http://www.wikidata.org/entity/Q1094964","Paul Déroulède","1846","1914"
"649","http://www.wikidata.org/entity/Q1098330","Claudius Popelin","1825","1892"
"651","http://www.wikidata.org/entity/Q1111475","François Brousse","1913","1995"
"652","http://www.wikidata.org/entity/Q1121416","Léon Deubel","1879","1913"
"653","http://www.wikidata.org/entity/Q1127656","Constance de Salm","1767","1845"
"656","http://www.wikidata.org/entity/Q1148209","Louis Gallet","1835","1898"
"657","http://www.wikidata.org/entity/Q1153820","Henry Becque","1837","1899"
"666","http://www.wikidata.org/entity/Q1219520","Camille Doucet","1812","1895"
"668","http://www.wikidata.org/entity/Q1224286","Dieudonné Thiébault","1733","1807"
"669","http://www.wikidata.org/entity/Q1225448","Georges Lafenestre","1837","1919"
"672","http://www.wikidata.org/entity/Q1228890","Georges Spénale","1913","1983"
"674","http://www.wikidata.org/entity/Q1230723","Louis-Gabriel-Charles Vicaire","1848","1900"
"683","http://www.wikidata.org/entity/Q1238005","Louis de Fourcaud","1851","1914"
"692","http://www.wikidata.org/entity/Q1248992","Louis Ratisbonne","1827","1900"
"693","http://www.wikidata.org/entity/Q1251496","Charles Maurice Donnay","1859","1945"
