"","item","itemLabel","birthdate","deathdate"
"323","http://www.wikidata.org/entity/Q3092420","Félix Davin","1807","1836"
"324","http://www.wikidata.org/entity/Q366464","Aloysius Bertrand","1807","1841"
"325","http://www.wikidata.org/entity/Q3439595","Roger de Beauvoir","1806","1866"
"326","http://www.wikidata.org/entity/Q2959585","Charles Lassailly","1806","1843"
"327","http://www.wikidata.org/entity/Q51272938","Charles de Nugent","1806","1881"
"328","http://www.wikidata.org/entity/Q2958916","Charles Didier","1805","1864"
"329","http://www.wikidata.org/entity/Q437094","Delphine de Girardin","1804","1855"
"330","http://www.wikidata.org/entity/Q332457","Léon Gozlan","1803","1866"
"332","http://www.wikidata.org/entity/Q551735","Edgar Quinet","1803","1875"
"333","http://www.wikidata.org/entity/Q2853942","Antoine Étienne Fontaney","1803","1837"
"334","http://www.wikidata.org/entity/Q289303","Étienne Arago","1802","1892"
"335","http://www.wikidata.org/entity/Q346091","Léon Halévy","1802","1883"
"339","http://www.wikidata.org/entity/Q60345747","Charles de Saint-Julien","1802","1869"
"340","http://www.wikidata.org/entity/Q6687763","Louis Marie Fontan","1801","1839"
"341","http://www.wikidata.org/entity/Q18057600","Jean-Georges Farcy","1800","1830"
"342","http://www.wikidata.org/entity/Q1362359","Joseph Méry","1797","1866"
"343","http://www.wikidata.org/entity/Q2370499","Armand-François Jouslin de La Salle","1794","1863"
"344","http://www.wikidata.org/entity/Q2959732","Charles Magnin","1793","1862"
"345","http://www.wikidata.org/entity/Q17634904","Mathurin-Joseph Brisset","1792","1856"
"346","http://www.wikidata.org/entity/Q3557133","Victor Augier","1792","1858"
"347","http://www.wikidata.org/entity/Q2959702","Charles Loyson","1791","1820"
"348","http://www.wikidata.org/entity/Q1974859","Émile Deschamps","1791","1871"
"350","http://www.wikidata.org/entity/Q17015704","Eugenius Roche","1786","1829"
"351","http://www.wikidata.org/entity/Q1606056","Henri de Latouche","1785","1851"
"352","http://www.wikidata.org/entity/Q948722","Alphonse Rabbe","1784","1829"
