"","item","itemLabel","birthdate","deathdate"
"342","http://www.wikidata.org/entity/Q551795","Jacques Pelletier du Mans","1517","1582"
"344","http://www.wikidata.org/entity/Q551804","Michel de l'Hôpital","1505","1573"
"345","http://www.wikidata.org/entity/Q333106","Hilaire Belloc","1870","1953"
"346","http://www.wikidata.org/entity/Q333615","Raymond Radiguet","1903","1923"
"347","http://www.wikidata.org/entity/Q334950","Agrippa d'Aubigné","1552","1630"
"349","http://www.wikidata.org/entity/Q334958","Pierre Louÿs","1870","1925"
"351","http://www.wikidata.org/entity/Q334965","Charles Péguy","1873","1914"
"352","http://www.wikidata.org/entity/Q334970","José-Maria de Heredia","1842","1905"
"353","http://www.wikidata.org/entity/Q334983","Jules Romains","1885","1972"
"354","http://www.wikidata.org/entity/Q336010","Charles Nodier","1780","1844"
"355","http://www.wikidata.org/entity/Q336467","Philippe Soupault","1897","1990"
"356","http://www.wikidata.org/entity/Q338922","Félicien Champsaur","1858","1934"
"357","http://www.wikidata.org/entity/Q340235","Achille Millien","1838","1927"
"358","http://www.wikidata.org/entity/Q343159","Antoine-Marin Lemierre","1733","1793"
"359","http://www.wikidata.org/entity/Q345858","Henri Joseph Du Laurens","1719","1793"
"360","http://www.wikidata.org/entity/Q346091","Léon Halévy","1802","1883"
"364","http://www.wikidata.org/entity/Q347198","Adalberon","0947","1030"
"365","http://www.wikidata.org/entity/Q347289","Pierre-Charles Roy","1683","1764"
"366","http://www.wikidata.org/entity/Q347372","Louis Jules Mancini Mazarini","1716","1798"
"367","http://www.wikidata.org/entity/Q347891","Nicolas Chamfort","1741","1794"
"368","http://www.wikidata.org/entity/Q352279","Peire de Corbiac","1250","1201"
"369","http://www.wikidata.org/entity/Q352287","Clovis Hugues","1851","1907"
"370","http://www.wikidata.org/entity/Q353857","Jean Moréas","1856","1910"
"371","http://www.wikidata.org/entity/Q353873","Francis Jammes","1868","1938"
"372","http://www.wikidata.org/entity/Q353876","Remy de Gourmont","1858","1915"
"373","http://www.wikidata.org/entity/Q353887","Antoine Arnauld","1612","1694"
"374","http://www.wikidata.org/entity/Q354373","Népomucène Lemercier","1771","1840"
"375","http://www.wikidata.org/entity/Q356509","Raimbaut de Vaqueiras","1165","1207"
"376","http://www.wikidata.org/entity/Q356575","Charles Cros","1842","1888"
"377","http://www.wikidata.org/entity/Q358479","Hervé Bazin","1911","1996"
"378","http://www.wikidata.org/entity/Q358491","Honoré d'Urfé","1568","1625"
"379","http://www.wikidata.org/entity/Q358574","François de Malherbe","1555","1628"
"380","http://www.wikidata.org/entity/Q360481","Vincent-Marie Viénot, Count of Vaublanc","1756","1845"
"381","http://www.wikidata.org/entity/Q361456","Claude-Joseph Dorat","1734","1780"
"382","http://www.wikidata.org/entity/Q363870","Michel Ragon","1924","2020"
"383","http://www.wikidata.org/entity/Q364931","Louis de Boissy","1694","1758"
"384","http://www.wikidata.org/entity/Q365837","Adolphe Stoeber","1810","1892"
"385","http://www.wikidata.org/entity/Q366285","Auguste Villiers de l'Isle-Adam","1838","1889"
"386","http://www.wikidata.org/entity/Q366464","Aloysius Bertrand","1807","1841"
"387","http://www.wikidata.org/entity/Q367243","Michel-Jean Sedaine","1719","1797"
"391","http://www.wikidata.org/entity/Q371882","Claude Gaspar Bachet de Méziriac","1581","1638"
"393","http://www.wikidata.org/entity/Q371905","Alphonse Allais","1854","1905"
"394","http://www.wikidata.org/entity/Q373897","Régis de Trobriand","1816","1897"
"395","http://www.wikidata.org/entity/Q374572","François-Joachim de Pierre de Bernis","1715","1794"
"396","http://www.wikidata.org/entity/Q374622","Pierre-Louis Moline","1740","1820"
"397","http://www.wikidata.org/entity/Q376210","Adrianus Turnebus","1512","1565"
"398","http://www.wikidata.org/entity/Q376359","Paul Giéra","1816","1861"
"399","http://www.wikidata.org/entity/Q377038","Adrien Finck","1930","2008"
"400","http://www.wikidata.org/entity/Q377324","Jean Marot","1450","1526"
"401","http://www.wikidata.org/entity/Q379022","Jean-François de La Harpe","1739","1803"
"402","http://www.wikidata.org/entity/Q379923","Jean-François Marmontel","1723","1799"
"403","http://www.wikidata.org/entity/Q379931","Pierre Reverdy","1889","1960"
"404","http://www.wikidata.org/entity/Q379941","Jean-Antoine de Baïf","1532","1589"
"405","http://www.wikidata.org/entity/Q379943","Pierre Jean Jouve","1887","1976"
"407","http://www.wikidata.org/entity/Q379947","Philippe Quinault","1635","1688"
"409","http://www.wikidata.org/entity/Q379958","Pierre Gamarra","1919","2009"
"410","http://www.wikidata.org/entity/Q380275","Jules Laforgue","1860","1887"
"411","http://www.wikidata.org/entity/Q380277","François Coppée","1842","1908"
"412","http://www.wikidata.org/entity/Q384698","Barthélémy Aneau","1505","1561"
