;lien;nom;naissance;mort;age;prefaces;id_wikidata;idref;memberof_af;reception;subject;ratio_prefaces;bnf;lien_bnf;nb_oeuvres;nb_oeuvres_1940;nb_ouvrages;nb_ouvrages_1940
287;http://www.wikidata.org/entity/Q3123741;Gérard Bauër;1888;1967;79;1;Q3123741;02671034X;FALSE;NA;3;0.0192307692307692;118906366;http://data.bnf.fr/ark:/12148/cb118906366#about;32;15;38;15
288;http://www.wikidata.org/entity/Q3263755;Louise Hervieu;1878;1954;76;NA;Q3263755;30384540;FALSE;NA;3;NA;128057766;http://data.bnf.fr/ark:/12148/cb128057766#about;10;7;16;11
289;http://www.wikidata.org/entity/Q3196555;Kikou Yamata;1897;1975;78;1;Q3196555;29226945;FALSE;NA;3;0.0232558139534884;11929476s;http://data.bnf.fr/ark:/12148/cb11929476s#about;25;16;34;18
290;http://www.wikidata.org/entity/Q3386257;Pierre Messiaen;1883;1957;74;NA;Q3386257;34194118;FALSE;NA;3;NA;124977327;http://data.bnf.fr/ark:/12148/cb124977327#about;10;6;11;6
291;http://www.wikidata.org/entity/Q3131267;Henri Hertz;1875;1966;91;1;Q3131267;77850157;FALSE;NA;3;0.0153846153846154;12612843n;http://data.bnf.fr/ark:/12148/cb12612843n#about;21;18;26;23
292;http://www.wikidata.org/entity/Q3098317;Louis Verneuil;1893;1952;59;NA;Q3098317;03276622X;FALSE;NA;3;NA;12373183x;http://data.bnf.fr/ark:/12148/cb12373183x#about;53;50;79;63
293;http://www.wikidata.org/entity/Q3262638;Louis Marlio;1878;1952;74;2;Q3262638;56870736;FALSE;NA;3;0.032258064516129;10280534v;http://data.bnf.fr/ark:/12148/cb10280534v#about;20;10;24;12
294;http://www.wikidata.org/entity/Q1605745;Henri Bédarida;1887;1957;70;NA;Q1605745;26714051;FALSE;NA;3;NA;118909152;http://data.bnf.fr/ark:/12148/cb118909152#about;45;36;52;41
295;http://www.wikidata.org/entity/Q3099143;Gaston Roupnel;1871;1946;75;2;Q3099143;31613837;FALSE;NA;3;0.0289855072463768;12279488r;http://data.bnf.fr/ark:/12148/cb12279488r#about;12;10;15;10
296;http://www.wikidata.org/entity/Q517725;André Cayatte;1909;1989;80;NA;Q517725;26773287;FALSE;NA;3;NA;118956410;http://data.bnf.fr/ark:/12148/cb118956410#about;10;7;11;8
297;http://www.wikidata.org/entity/Q3420979;Raymond Las Vergnas;1902;1994;92;NA;Q3420979;26967391;FALSE;NA;3;NA;11911182r;http://data.bnf.fr/ark:/12148/cb11911182r#about;26;5;28;6
298;http://www.wikidata.org/entity/Q18115330;Louis Labat;1867;1947;80;NA;Q18115330;61115770;FALSE;NA;3;NA;12617272s;http://data.bnf.fr/ark:/12148/cb12617272s#about;20;18;20;18
299;http://www.wikidata.org/entity/Q3183962;Jos Jullien;1877;1956;79;NA;Q3183962;120464632;FALSE;NA;3;NA;13008604j;http://data.bnf.fr/ark:/12148/cb13008604j#about;6;5;8;7
300;http://www.wikidata.org/entity/Q3171300;Jean Choleau;1879;1965;86;NA;Q3171300;56873719;FALSE;NA;3;NA;150701190;http://data.bnf.fr/ark:/12148/cb150701190#about;26;12;33;15
301;http://www.wikidata.org/entity/Q274891;Émile Armand;1872;1962;90;4;Q274891;35182911;FALSE;NA;3;0.0588235294117647;13172574m;http://data.bnf.fr/ark:/12148/cb13172574m#about;49;40;51;40
302;http://www.wikidata.org/entity/Q2824844;Adolphe Javal;1873;1944;71;NA;Q2824844;35441763;FALSE;NA;3;NA;133211528;http://data.bnf.fr/ark:/12148/cb133211528#about;31;20;35;24
303;http://www.wikidata.org/entity/Q523299;André Warnot;1885;1960;75;1;Q523299;33321094;FALSE;NA;3;0.0181818181818182;124198659;http://data.bnf.fr/ark:/12148/cb124198659#about;56;40;64;45
304;http://www.wikidata.org/entity/Q2848559;André Rolland de Renéville;1903;1962;59;NA;Q2848559;28619730;FALSE;NA;3;NA;12041854n;http://data.bnf.fr/ark:/12148/cb12041854n#about;10;4;15;6
305;http://www.wikidata.org/entity/Q3131619;Henri Mazel;1864;1947;83;2;Q3131619;02999537X;FALSE;NA;2;0.0263157894736842;12150285d;http://data.bnf.fr/ark:/12148/cb12150285d#about;42;39;56;51
306;http://www.wikidata.org/entity/Q3588629;Émile Magne;1877;1953;76;2;Q3588629;30384273;FALSE;NA;2;0.0317460317460317;12180957q;http://data.bnf.fr/ark:/12148/cb12180957q#about;58;50;70;58
307;http://www.wikidata.org/entity/Q3264810;Luc Durtain;1881;1959;78;4;Q3264810;02836628X;FALSE;NA;2;0.0677966101694915;12291107k;http://data.bnf.fr/ark:/12148/cb12291107k#about;45;38;59;49
308;http://www.wikidata.org/entity/Q12735024;Mario Meunier;1880;1960;80;1;Q12735024;27026205;FALSE;NA;2;0.0166666666666667;119158385;http://data.bnf.fr/ark:/12148/cb119158385#about;18;15;30;17
309;http://www.wikidata.org/entity/Q1337206;Émile Ripert;1882;1948;66;19;Q1337206;27101339;FALSE;NA;2;0.327586206896552;11922047d;http://data.bnf.fr/ark:/12148/cb11922047d#about;59;50;77;58
310;http://www.wikidata.org/entity/Q3186294;José Germain;1884;1964;80;6;Q3186294;07551737X;FALSE;NA;2;0.107142857142857;140289863;http://data.bnf.fr/ark:/12148/cb140289863#about;119;100;154;124
311;http://www.wikidata.org/entity/Q17977163;Henry Dérieux;1892;1941;49;1;Q17977163;03030380X;FALSE;NA;2;0.0208333333333333;12174768k;http://data.bnf.fr/ark:/12148/cb12174768k#about;23;17;23;17
312;http://www.wikidata.org/entity/Q507746;Alexandre Arnoux;1884;1973;89;4;Q507746;26691671;FALSE;NA;2;0.0714285714285714;118891928;http://data.bnf.fr/ark:/12148/cb118891928#about;63;23;88;28
313;http://www.wikidata.org/entity/Q3262928;Louis Pize;1892;1976;84;NA;Q3262928;27075591;FALSE;NA;2;NA;119199628;http://data.bnf.fr/ark:/12148/cb119199628#about;28;16;30;16
314;http://www.wikidata.org/entity/Q3022926;Denis Saurat;1890;1958;68;NA;Q3022926;35157178;FALSE;NA;2;NA;13476167q;http://data.bnf.fr/ark:/12148/cb13476167q#about;26;11;34;14
315;http://www.wikidata.org/entity/Q2982529;Colette Yver;1874;1953;79;2;Q2982529;59533676;FALSE;NA;2;0.0303030303030303;134811907;http://data.bnf.fr/ark:/12148/cb134811907#about;62;51;81;59
316;http://www.wikidata.org/entity/Q3331525;Myriam Harry;1869;1958;89;3;Q3331525;33637202;FALSE;NA;2;0.0422535211267606;12448490s;http://data.bnf.fr/ark:/12148/cb12448490s#about;51;35;72;49
317;http://www.wikidata.org/entity/Q2659138;Philippe Hériat;1898;1971;73;1;Q2659138;02961807X;FALSE;NA;2;0.0238095238095238;12120586z;http://data.bnf.fr/ark:/12148/cb12120586z#about;23;8;53;15
318;http://www.wikidata.org/entity/Q947449;Louis Laloy;1874;1944;70;NA;Q947449;26961970;FALSE;NA;2;NA;11910775w;http://data.bnf.fr/ark:/12148/cb11910775w#about;11;6;21;14
